protocol_code,protocol,protocol_full_name
0,HOPOPT,IPv6 Hop-by-Hop Option
1,ICMP,Internet Control Message
2,IGMP,Internet Group Management
3,GGP,Gateway-to-Gateway
4,IPv4,IPv4 encapsulation
5,ST,Stream
6,TCP,Transmission Control
7,CBT,CBT
8,EGP,Exterior Gateway Protocol
9,IGP,any private interior gateway (used by Cisco for their IGRP)
10,BBN-RCC-MON,BBN RCC Monitoring
11,NVP-II,Network Voice Protocol
12,PUP,PUP
13,ARGUS,ARGUS
14,EMCON,EMCON
15,XNET,Cross Net Debugger
16,CHAOS,Chaos
17,UDP,User Datagram
18,MUX,Multiplexing
19,DCN-MEAS,DCN Measurement Subsystems
20,HMP,Host Monitoring
21,PRM,Packet Radio Measurement
22,XNS-IDP,XEROX NS IDP
23,TRUNK-1,Trunk-1
24,TRUNK-2,Trunk-2
25,LEAF-1,Leaf-1
26,LEAF-2,Leaf-2
27,RDP,Reliable Data Protocol
28,IRTP,Internet Reliable Transaction
29,ISO-TP4,ISO Transport Protocol Class 4
30,NETBLT,Bulk Data Transfer Protocol
31,MFE-NSP,MFE Network Services Protocol
32,MERIT-INP,MERIT Internodal Protocol
33,DCCP,Datagram Congestion Control Protocol
34,3PC,Third Party Connect Protocol
35,IDPR,Inter-Domain Policy Routing Protocol
36,XTP,XTP
37,DDP,Datagram Delivery Protocol
38,IDPR-CMTP,IDPR Control Message Transport Proto
39,TP++,TP++ Transport Protocol
40,IL,IL Transport Protocol
41,IPv6,IPv6 encapsulation
42,SDRP,Source Demand Routing Protocol
43,IPv6-Route,Routing Header for IPv6
44,IPv6-Frag,Fragment Header for IPv6
45,IDRP,Inter-Domain Routing Protocol
46,RSVP,Reservation Protocol
47,GRE,Generic Routing Encapsulation
48,DSR,Dynamic Source Routing Protocol
49,BNA,BNA
50,ESP,Encap Security Payload
51,AH,Authentication Header
52,I-NLSP,Integrated Net Layer Security TUBA
53,SWIPE (deprecated),IP with Encryption
54,NARP,NBMA Address Resolution Protocol
55,MOBILE,IP Mobility
56,TLSP,Transport Layer Security Protocol using Kryptonet key management
57,SKIP,SKIP
58,IPv6-ICMP,ICMP for IPv6
59,IPv6-NoNxt,No Next Header for IPv6
60,IPv6-Opts,Destination Options for IPv6
61,None,any host internal protocol
62,CFTP,CFTP
63,None,any local network
64,SAT-EXPAK,SATNET and Backroom EXPAK
65,KRYPTOLAN,Kryptolan
66,RVD,MIT Remote Virtual Disk Protocol
67,IPPC,Internet Pluribus Packet Core
68,None,any distributed file system
69,SAT-MON,SATNET Monitoring
70,VISA,VISA Protocol
71,IPCV,Internet Packet Core Utility
72,CPNX,Computer Protocol Network Executive
73,CPHB,Computer Protocol Heart Beat
74,WSN,Wang Span Network
75,PVP,Packet Video Protocol
76,BR-SAT-MON,Backroom SATNET Monitoring
77,SUN-ND,SUN ND PROTOCOL-Temporary
78,WB-MON,WIDEBAND Monitoring
79,WB-EXPAK,WIDEBAND EXPAK
80,ISO-IP,ISO Internet Protocol
81,VMTP,VMTP
82,SECURE-VMTP,SECURE-VMTP
83,VINES,VINES
84,IPTM,Internet Protocol Traffic Manager
85,NSFNET-IGP,NSFNET-IGP
86,DGP,Dissimilar Gateway Protocol
87,TCF,TCF
88,EIGRP,EIGRP
89,OSPFIGP,OSPFIGP
90,Sprite-RPC,Sprite RPC Protocol
91,LARP,Locus Address Resolution Protocol
92,MTP,Multicast Transport Protocol
93,AX.25,AX.25 Frames
94,IPIP,IP-within-IP Encapsulation Protocol
95,MICP (deprecated),Mobile Internetworking Control Pro.
96,SCC-SP,Semaphore Communications Sec. Pro.
97,ETHERIP,Ethernet-within-IP Encapsulation
98,ENCAP,Encapsulation Header
99,None,any private encryption scheme
100,GMTP,GMTP
101,IFMP,Ipsilon Flow Management Protocol
102,PNNI,PNNI over IP
103,PIM,Protocol Independent Multicast
104,ARIS,ARIS
105,SCPS,SCPS
106,QNX,QNX
107,A/N,Active Networks
108,IPComp,IP Payload Compression Protocol
109,SNP,Sitara Networks Protocol
110,Compaq-Peer,Compaq Peer Protocol
111,IPX-in-IP,IPX in IP
112,VRRP,Virtual Router Redundancy Protocol
113,PGM,PGM Reliable Transport Protocol
114,None,any 0-hop protocol
115,L2TP,Layer Two Tunneling Protocol
116,DDX,D-II Data Exchange (DDX)
117,IATP,Interactive Agent Transfer Protocol
118,STP,Schedule Transfer Protocol
119,SRP,SpectraLink Radio Protocol
120,UTI,UTI
121,SMP,Simple Message Protocol
122,SM (deprecated),Simple Multicast Protocol
123,PTP,Performance Transparency Protocol
124,ISIS over IPv4,
125,FIRE,
126,CRTP,Combat Radio Transport Protocol
127,CRUDP,Combat Radio User Datagram
128,SSCOPMCE,
129,IPLT,
130,SPS,Secure Packet Shield
131,PIPE,Private IP Encapsulation within IP
132,SCTP,Stream Control Transmission Protocol
133,FC,Fibre Channel
134,RSVP-E2E-IGNORE,
135,Mobility Header,
136,UDPLite,
137,MPLS-in-IP,
138,manet,MANET Protocols
139,HIP,Host Identity Protocol
140,Shim6,Shim6 Protocol
141,WESP,Wrapped Encapsulating Security Payload
142,ROHC,Robust Header Compression
143,Unassigned,Unassigned
144,Unassigned,Unassigned
145,Unassigned,Unassigned
146,Unassigned,Unassigned
147,Unassigned,Unassigned
148,Unassigned,Unassigned
149,Unassigned,Unassigned
150,Unassigned,Unassigned
151,Unassigned,Unassigned
152,Unassigned,Unassigned
153,Unassigned,Unassigned
154,Unassigned,Unassigned
155,Unassigned,Unassigned
156,Unassigned,Unassigned
157,Unassigned,Unassigned
158,Unassigned,Unassigned
159,Unassigned,Unassigned
160,Unassigned,Unassigned
161,Unassigned,Unassigned
162,Unassigned,Unassigned
163,Unassigned,Unassigned
164,Unassigned,Unassigned
165,Unassigned,Unassigned
166,Unassigned,Unassigned
167,Unassigned,Unassigned
168,Unassigned,Unassigned
169,Unassigned,Unassigned
170,Unassigned,Unassigned
171,Unassigned,Unassigned
172,Unassigned,Unassigned
173,Unassigned,Unassigned
174,Unassigned,Unassigned
175,Unassigned,Unassigned
176,Unassigned,Unassigned
177,Unassigned,Unassigned
178,Unassigned,Unassigned
179,Unassigned,Unassigned
180,Unassigned,Unassigned
181,Unassigned,Unassigned
182,Unassigned,Unassigned
183,Unassigned,Unassigned
184,Unassigned,Unassigned
185,Unassigned,Unassigned
186,Unassigned,Unassigned
187,Unassigned,Unassigned
188,Unassigned,Unassigned
189,Unassigned,Unassigned
190,Unassigned,Unassigned
191,Unassigned,Unassigned
192,Unassigned,Unassigned
193,Unassigned,Unassigned
194,Unassigned,Unassigned
195,Unassigned,Unassigned
196,Unassigned,Unassigned
197,Unassigned,Unassigned
198,Unassigned,Unassigned
199,Unassigned,Unassigned
200,Unassigned,Unassigned
201,Unassigned,Unassigned
202,Unassigned,Unassigned
203,Unassigned,Unassigned
204,Unassigned,Unassigned
205,Unassigned,Unassigned
206,Unassigned,Unassigned
207,Unassigned,Unassigned
208,Unassigned,Unassigned
209,Unassigned,Unassigned
210,Unassigned,Unassigned
211,Unassigned,Unassigned
212,Unassigned,Unassigned
213,Unassigned,Unassigned
214,Unassigned,Unassigned
215,Unassigned,Unassigned
216,Unassigned,Unassigned
217,Unassigned,Unassigned
218,Unassigned,Unassigned
219,Unassigned,Unassigned
220,Unassigned,Unassigned
221,Unassigned,Unassigned
222,Unassigned,Unassigned
223,Unassigned,Unassigned
224,Unassigned,Unassigned
225,Unassigned,Unassigned
226,Unassigned,Unassigned
227,Unassigned,Unassigned
228,Unassigned,Unassigned
229,Unassigned,Unassigned
230,Unassigned,Unassigned
231,Unassigned,Unassigned
232,Unassigned,Unassigned
233,Unassigned,Unassigned
234,Unassigned,Unassigned
235,Unassigned,Unassigned
236,Unassigned,Unassigned
237,Unassigned,Unassigned
238,Unassigned,Unassigned
239,Unassigned,Unassigned
240,Unassigned,Unassigned
241,Unassigned,Unassigned
242,Unassigned,Unassigned
243,Unassigned,Unassigned
244,Unassigned,Unassigned
245,Unassigned,Unassigned
246,Unassigned,Unassigned
247,Unassigned,Unassigned
248,Unassigned,Unassigned
249,Unassigned,Unassigned
250,Unassigned,Unassigned
251,Unassigned,Unassigned
252,Unassigned,Unassigned
253,None,Use for experimentation and testing
254,None,Use for experimentation and testing
255,Reserved,Reserved